tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating
Science,135,Brigham Young University,Zach,,Aanderud,1386525,67,good,TEACHER,PROFESSOR,4.0
Education,135,Brigham Young University,Aerin,,Aanderud,1814205,9,good,TEACHER,PROFESSOR,3.6
Computer Science,135,Brigham Young University,Thomas,,Abbot,1958351,1,good,TEACHER,PROFESSOR,5.0
English,135,Brigham Young University,Jennifer,,Abbott,767874,5,good,TEACHER,PROFESSOR,3.9
Accounting,135,Brigham Young University,Nelson,,Abbott,1238991,7,average,TEACHER,PROFESSOR,3.4
Health & Physical Education,135,Brigham Young University,Denise,,Abbott,2415473,1,good,TEACHER,PROFESSOR,4.0
Psychology,135,Brigham Young University,Kelly,,Abbott,1739778,5,good,TEACHER,PROFESSOR,4.0
Plant & Wildlife Sciences,135,Brigham Young University,Ben,,Abbott,2370752,26,good,TEACHER,PROFESSOR,4.4
Sociology,135,Brigham Young University,Mike,,Abel,444732,2,average,TEACHER,PROFESSOR,3.0
Secondary Education,135,Brigham Young University,Heidi,,Abraham,780824,9,good,TEACHER,PROFESSOR,4.3
Mathematics,135,Brigham Young University,Mark,,Abramson,2110195,7,good,TEACHER,PROFESSOR,3.7
Writing,135,Brigham Young University,Maryn,,Abunuwara,2391923,3,good,TEACHER,PROFESSOR,4.7
Dance,135,Brigham Young University,Kimberly,,Acerson,1022999,10,good,TEACHER,PROFESSOR,4.3
Physical Sciences,135,Brigham Young University,Patricia,,Ackroyd,2331682,2,good,TEACHER,PROFESSOR,4.5
Physical Sciences,135,Brigham Young University,Christine,,Ackroyd,2123695,48,good,TEACHER,PROFESSOR,3.8
Mathematics,135,Brigham Young University,Brenda,,Acor,183515,12,average,TEACHER,PROFESSOR,3.0
Biology,135,Brigham Young University,Marta,,Adair,646144,35,average,TEACHER,PROFESSOR,3.1
Communication,135,Brigham Young University,Ed,,Adams,82632,46,good,TEACHER,PROFESSOR,4.7
Visual Arts,135,Brigham Young University,Paul,,Adams,592238,28,good,TEACHER,PROFESSOR,3.8
Mechanical Engineering,135,Brigham Young University,Brent,,Adams,1229088,12,poor,TEACHER,PROFESSOR,2.2
Languages,135,Brigham Young University,Charne,,Adams,1742516,4,good,TEACHER,PROFESSOR,5.0
Psychology,135,Brigham Young University,Michael,D,Adams,1844269,10,good,TEACHER,PROFESSOR,4.7
Computer Science,135,Brigham Young University,Brent,,Adams,2111287,3,good,TEACHER,PROFESSOR,4.7
African Studies,135,Brigham Young University,Rory,,Adams,2205392,1,good,TEACHER,PROFESSOR,5.0
Mechanical Engineering,135,Brigham Young University,Bradley,,Adams,2252625,4,good,TEACHER,PROFESSOR,3.7
Spanish,135,Brigham Young University,Nathan,Thomas,Adams,2276297,9,good,TEACHER,PROFESSOR,4.7
Mathematics,135,Brigham Young University,Joseph,,Adams,2473929,1,good,TEACHER,PROFESSOR,4.0
Mathematics,135,Brigham Young University,Emily,,Adams,2631814,1,good,TEACHER,PROFESSOR,5.0
Writing,135,Brigham Young University,Britta,K,Adams,2647767,3,good,TEACHER,PROFESSOR,5.0
Biology,135,Brigham Young University,Jason,Samuel,Adams,2533034,21,average,TEACHER,PROFESSOR,3.3
Biology,135,Brigham Young University,Marcella,,Adams,1613517,117,good,TEACHER,PROFESSOR,4.0
Biology,135,Brigham Young University,Byron,,Adams,426108,72,good,TEACHER,PROFESSOR,3.9
Behavioral Sciences,135,Brigham Young University,Joyce,,Adams,1520980,30,good,TEACHER,PROFESSOR,4.1
Political Science,135,Brigham Young University,Duane,,Adamson,774483,7,average,TEACHER,PROFESSOR,3.4
Foreign Languages,135,Brigham Young University,Nathan,,Adamson,2687580,2,good,TEACHER,PROFESSOR,5.0
Family & Consumer Science,135,Brigham Young University,Dana,,Adcock,963649,44,good,TEACHER,PROFESSOR,4.7
Business,135,Brigham Young University,Donald,,Adolphson,1285956,2,poor,TEACHER,PROFESSOR,2.0
Student Services,135,Brigham Young University,Paige,,Affleck,1632845,2,good,TEACHER,PROFESSOR,4.2
Business,135,Brigham Young University,Sarah,,Agate,2650158,1,good,TEACHER,PROFESSOR,5.0
Business Administration,135,Brigham Young University,Bradley,,Agle,1114317,17,good,TEACHER,PROFESSOR,3.6
French  Italian,135,Brigham Young University,Tohouegnon,Christian,Ahihou,2185778,15,average,TEACHER,PROFESSOR,2.9
Nutrition & Food Science,135,Brigham Young University,Eugene,,Ahlborn,2638638,3,good,TEACHER,PROFESSOR,5.0
Finance,135,Brigham Young University,Darren,,Aiello,2474683,16,good,TEACHER,PROFESSOR,4.3
Foreign Languages,135,Brigham Young University,Cherry,,Aitken,2658545,18,good,TEACHER,PROFESSOR,5.0
Spanish,135,Brigham Young University,Orlando,,Alba,651730,26,good,TEACHER,PROFESSOR,4.0
Information Systems,135,Brigham Young University,Conan,,Albrecht,485646,27,good,TEACHER,PROFESSOR,4.3
