tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating
Physical Education,136,Brigham Young University - Hawaii,Brandyn,,Akana,904179,9,good,TEACHER,PROFESSOR,4.8
Health Science,136,Brigham Young University - Hawaii,Charlene,Dawn,Akana,2321608,3,good,TEACHER,PROFESSOR,3.7
Political Science,136,Brigham Young University - Hawaii,Christina,,Akanoa,1236081,10,good,TEACHER,PROFESSOR,3.9
Mathematics,136,Brigham Young University - Hawaii,Manny,,Alboroto,1545107,1,good,TEACHER,PROFESSOR,5.0
Fine Arts,136,Brigham Young University - Hawaii,Mata'Umu,,Alisa,453614,7,good,TEACHER,PROFESSOR,4.4
History,136,Brigham Young University - Hawaii,Michael,,Allen,484627,4,good,TEACHER,PROFESSOR,3.9
Business,136,Brigham Young University - Hawaii,Greig,,Allen,606314,6,good,TEACHER,PROFESSOR,3.6
English,136,Brigham Young University - Hawaii,Randal,,Allred,453295,13,good,TEACHER,PROFESSOR,4.2
Communication,136,Brigham Young University - Hawaii,Mason,,Allred,2439523,12,good,TEACHER,PROFESSOR,4.5
English,136,Brigham Young University - Hawaii,Neil,,Anderson,2315072,5,good,TEACHER,PROFESSOR,3.8
Business,136,Brigham Young University - Hawaii,Melissa,,Arias,2052453,2,poor,TEACHER,PROFESSOR,1.5
Religion,136,Brigham Young University - Hawaii,Casey,,Ashcroft,2114823,3,good,TEACHER,PROFESSOR,4.7
History,136,Brigham Young University - Hawaii,Savani,,Aupiu,1884184,27,poor,TEACHER,PROFESSOR,2.2
Agriculture,136,Brigham Young University - Hawaii,Keoki,,Baclayon,2236924,2,good,TEACHER,PROFESSOR,5.0
Biology,136,Brigham Young University - Hawaii,Elizabeth,,Bailey,2174425,3,good,TEACHER,PROFESSOR,5.0
Education,136,Brigham Young University - Hawaii,John,,Bailey,1432446,22,good,TEACHER,PROFESSOR,3.9
Business,136,Brigham Young University - Hawaii,Cody,,Baldwin,2231240,8,good,TEACHER,PROFESSOR,4.7
Religion,136,Brigham Young University - Hawaii,Glen,,Barksdale,1370817,4,good,TEACHER,PROFESSOR,4.9
Science,136,Brigham Young University - Hawaii,Marshall,,Bartlett,819119,7,average,TEACHER,PROFESSOR,2.9
Mathematics,136,Brigham Young University - Hawaii,Susan,,Barton,767003,40,average,TEACHER,PROFESSOR,2.5
Psychology,136,Brigham Young University - Hawaii,Zachary,,Beckstead,2171277,16,good,TEACHER,PROFESSOR,4.5
Physical Education,136,Brigham Young University - Hawaii,Ramona,R K,Beltran,2127221,4,good,TEACHER,PROFESSOR,5.0
Education,136,Brigham Young University - Hawaii,Carol,,Bennett,2488702,1,good,TEACHER,PROFESSOR,4.0
Social Work,136,Brigham Young University - Hawaii,Nicole,,Bennett,2722182,4,good,TEACHER,PROFESSOR,5.0
Film,136,Brigham Young University - Hawaii,Yifen,,Beus,810418,12,good,TEACHER,PROFESSOR,3.5
Humanities,136,Brigham Young University - Hawaii,David,,Beus,1706969,9,good,TEACHER,PROFESSOR,4.0
Education,136,Brigham Young University - Hawaii,Reidy,,Beverly,2606894,2,average,TEACHER,PROFESSOR,2.5
Religion,136,Brigham Young University - Hawaii,Susan Easton,,Black,700312,1,good,TEACHER,PROFESSOR,4.5
English,136,Brigham Young University - Hawaii,Jill,,Bleazard,2480549,1,good,TEACHER,PROFESSOR,4.0
Political Science,136,Brigham Young University - Hawaii,Randall,,Blimes,1520031,12,good,TEACHER,PROFESSOR,3.8
Communication,136,Brigham Young University - Hawaii,Michelle,,Blimes,2265740,7,good,TEACHER,PROFESSOR,4.0
Biology,136,Brigham Young University - Hawaii,Gary,,Booth,673819,5,good,TEACHER,PROFESSOR,4.4
Theater,136,Brigham Young University - Hawaii,Gailyn,,Bopp,2651230,2,average,TEACHER,PROFESSOR,3.0
Political Science,136,Brigham Young University - Hawaii,Donna Lee,,Bowen,720669,4,good,TEACHER,PROFESSOR,4.5
Religion,136,Brigham Young University - Hawaii,Suzanne,,Bowen,2608249,2,good,TEACHER,PROFESSOR,5.0
Religion,136,Brigham Young University - Hawaii,Matthew,,Bowen ,1930404,22,good,TEACHER,PROFESSOR,4.2
