tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating
General Studies,1754,Brigham Young University - Idaho,Coreen,,(Hurst) Huggins,2021911,26,average,TEACHER,PROFESSOR,3.0
Geology,1754,Brigham Young University - Idaho,Jason,,Aase,809410,30,good,TEACHER,PROFESSOR,4.4
Online Learning,1754,Brigham Young University - Idaho,Dawn,,Abbott,2472024,14,good,TEACHER,PROFESSOR,4.1
Art,1754,Brigham Young University - Idaho,Joshua,,Abegglen,1421923,14,good,TEACHER,PROFESSOR,4.6
Sociology,1754,Brigham Young University - Idaho,Michael,,Abel,922527,90,good,TEACHER,PROFESSOR,3.6
English,1754,Brigham Young University - Idaho,Courtney,,Abenroth,1868481,5,good,TEACHER,PROFESSOR,5.0
Military Science,1754,Brigham Young University - Idaho,Tiffany,,Abriam,2242218,1,good,TEACHER,PROFESSOR,5.0
Education,1754,Brigham Young University - Idaho,Richard,,Adair,612220,17,good,TEACHER,PROFESSOR,4.4
Online Learning,1754,Brigham Young University - Idaho,Roger,,Adair,2233899,4,good,TEACHER,PROFESSOR,3.7
Psychology,1754,Brigham Young University - Idaho,Rodger,,Adair,2242431,5,good,TEACHER,PROFESSOR,3.8
Child  Family Studies,1754,Brigham Young University - Idaho,Christina,,Adams,2069062,1,good,TEACHER,PROFESSOR,5.0
Economics,1754,Brigham Young University - Idaho,Nate,,Adams,2147895,4,average,TEACHER,PROFESSOR,2.8
Health Science,1754,Brigham Young University - Idaho,Jescee,,Adams,2298428,5,good,TEACHER,PROFESSOR,4.6
English,1754,Brigham Young University - Idaho,Andrew,Bud,Adams,1996803,7,good,TEACHER,PROFESSOR,4.0
Communication,1754,Brigham Young University - Idaho,Maija-Liisa,N,Adams,2056560,26,good,TEACHER,PROFESSOR,3.8
Religion,1754,Brigham Young University - Idaho,Jacob,,Adams,2090760,9,good,TEACHER,PROFESSOR,5.0
Online Learning,1754,Brigham Young University - Idaho,Steve,,Adams,2709595,1,average,TEACHER,PROFESSOR,3.0
Physics,1754,Brigham Young University - Idaho,Kyle,Robert,Adams,2709587,4,good,TEACHER,PROFESSOR,5.0
Religion,1754,Brigham Young University - Idaho,Darren,,Adamson,1687544,15,good,TEACHER,PROFESSOR,4.8
Political Science,1754,Brigham Young University - Idaho,Duane,,Adamson,923985,73,good,TEACHER,PROFESSOR,4.0
Online Learning,1754,Brigham Young University - Idaho,Darren,,Adamson,2444534,5,good,TEACHER,PROFESSOR,5.0
Child & Family Studies,1754,Brigham Young University - Idaho,Michael,,Addams,2639716,1,good,TEACHER,PROFESSOR,5.0
Online Learning,1754,Brigham Young University - Idaho,Trish,,Adelsperger,2028035,12,poor,TEACHER,PROFESSOR,2.5
Religion,1754,Brigham Young University - Idaho,Susan,,Aguiar,2020650,3,good,TEACHER,PROFESSOR,3.7
Career Development,1754,Brigham Young University - Idaho,Sid,,Ahrendsen,972244,10,good,TEACHER,PROFESSOR,4.3
Career & College Prep,1754,Brigham Young University - Idaho,Rob,,Ahrendsen,1297471,17,good,TEACHER,PROFESSOR,4.5
